employee-id,component,amount,type,work-state
E001,BASIC,50000,Earning,IN-MH
E001,DA,5000,Earning,IN-MH
E001,HRA,20000,Earning,IN-MH
E001,TDS,4000,Deduction,IN-MH
E001,PF-EE,1800,Deduction,IN-MH
E001,PT,200,Deduction,IN-MH
E001,PF-ER,1800,Employer,IN-MH
E002,BASIC,40000,Earning,IN-KA
E002,DA,4000,Earning,IN-KA
E002,HRA,16000,Earning,IN-KA
E002,TDS,2500,Deduction,IN-KA
E002,PF-EE,1800,Deduction,IN-KA
E002,PT,200,Deduction,IN-KA
E002,PF-ER,1800,Employer,IN-KA
E003,BASIC,35000,Earning,IN-TN
E003,DA,3500,Earning,IN-TN
E003,HRA,14000,Earning,IN-TN
E003,TDS,1500,Deduction,IN-TN
E003,PF-EE,1800,Deduction,IN-TN
E003,PT,250,Deduction,IN-TN
E003,PF-ER,1800,Employer,IN-TN
